GAME            | RARITY   | CHARACTER NAME                           | FILENAME                                           | EXT
-----------------------------------------------------------------------------------------------------------------------------
genshin         | 4        | Amber                                    | Amber.png                                          | .png
genshin         | 4        | Barbara                                  | Barbara.png                                        | .png
genshin         | 4        | Beidou                                   | Beidou.png                                         | .png
genshin         | 4        | Bennett                                  | Bennett.png                                        | .png
genshin         | 4        | Candace                                  | Candace.png                                        | .png
genshin         | 4        | Charlotte                                | Charlotte.png                                      | .png
genshin         | 4        | Chevreuse                                | Chevreuse.png                                      | .png
genshin         | 4        | Chongyun                                 | Chongyun.png                                       | .png
genshin         | 4        | Collei                                   | Collei.png                                         | .png
genshin         | 4        | Dahlia                                   | Dahlia.png                                         | .png
genshin         | 4        | Diona                                    | Diona.png                                          | .png
genshin         | 4        | Dori                                     | Dori.png                                           | .png
genshin         | 4        | Faruzan                                  | Faruzan.png                                        | .png
genshin         | 4        | Fischl                                   | Fischl.png                                         | .png
genshin         | 4        | Freminet                                 | Freminet.png                                       | .png
genshin         | 4        | Gaming                                   | Gaming.png                                         | .png
genshin         | 4        | Gorou                                    | Gorou.png                                          | .png
genshin         | 4        | Iansan                                   | Iansan.png                                         | .png
genshin         | 4        | Kachina                                  | Kachina.png                                        | .png
genshin         | 4        | Kaeya                                    | Kaeya.png                                          | .png
genshin         | 4        | Kaveh                                    | Kaveh.png                                          | .png
genshin         | 4        | Kirara                                   | Kirara.png                                         | .png
genshin         | 4        | Kujou Sara                               | Kujou_Sara.png                                     | .png
genshin         | 4        | Kuki Shinobu                             | Kuki_Shinobu.png                                   | .png
genshin         | 4        | Lan Yan                                  | Lan_Yan.png                                        | .png
genshin         | 4        | Layla                                    | Layla.png                                          | .png
genshin         | 4        | Lisa                                     | Lisa.png                                           | .png
genshin         | 4        | Lynette                                  | Lynette.png                                        | .png
genshin         | 4        | Mika                                     | Mika.png                                           | .png
genshin         | 4        | Ningguang                                | Ningguang.png                                      | .png
genshin         | 4        | Noelle                                   | Noelle.png                                         | .png
genshin         | 4        | Ororon                                   | Ororon.png                                         | .png
genshin         | 4        | Razor                                    | Razor.png                                          | .png
genshin         | 4        | Rosaria                                  | Rosaria.png                                        | .png
genshin         | 4        | Sayu                                     | Sayu.png                                           | .png
genshin         | 4        | Sethos                                   | Sethos.png                                         | .png
genshin         | 4        | Shikanoin Heizou                         | Shikanoin_Heizou.png                               | .png
genshin         | 4        | Sucrose                                  | Sucrose.png                                        | .png
genshin         | 4        | Thoma                                    | Thoma.png                                          | .png
genshin         | 4        | Xiangling                                | Xiangling.png                                      | .png
genshin         | 4        | Xingqiu                                  | Xingqiu.png                                        | .png
genshin         | 4        | Xinyan                                   | Xinyan.png                                         | .png
genshin         | 4        | Yanfei                                   | Yanfei.png                                         | .png
genshin         | 4        | Yaoyao                                   | Yaoyao.png                                         | .png
genshin         | 4        | Yun Jin                                  | Yun_Jin.png                                        | .png
genshin         | 5        | Albedo                                   | Albedo.png                                         | .png
genshin         | 5        | Alhaitham                                | Alhaitham.png                                      | .png
genshin         | 5        | Arlecchino                               | Arlecchino.png                                     | .png
genshin         | 5        | Baizhu                                   | Baizhu.png                                         | .png
genshin         | 5        | Chasca                                   | Chasca.png                                         | .png
genshin         | 5        | Chiori                                   | Chiori.png                                         | .png
genshin         | 5        | Citlali                                  | Citlali.png                                        | .png
genshin         | 5        | Clorinde                                 | Clorinde.png                                       | .png
genshin         | 5        | Columbina                                | Columbina.png                                      | .png
genshin         | 5        | Cyno                                     | Cyno.png                                           | .png
genshin         | 5        | Dehya                                    | Dehya.png                                          | .png
genshin         | 5        | Diluc                                    | Diluc.png                                          | .png
genshin         | 5        | Durin                                    | Durin.png                                          | .png
genshin         | 5        | Emilie                                   | Emilie.png                                         | .png
genshin         | 5        | Escoffier                                | Escoffier.png                                      | .png
genshin         | 5        | Eula                                     | Eula.png                                           | .png
genshin         | 5        | Flins                                    | Flins.png                                          | .png
genshin         | 5        | Furina                                   | Furina.png                                         | .png
genshin         | 5        | Ganyu                                    | Ganyu.png                                          | .png
genshin         | 5        | Hu Tao                                   | Hu_Tao.png                                         | .png
genshin         | 5        | Ineffa                                   | Ineffa.png                                         | .png
genshin         | 5        | Jean                                     | Jean.png                                           | .png
genshin         | 5        | Kaedehara Kazuha                         | Kaedehara_Kazuha.png                               | .png
genshin         | 5        | Kamisato Ayaka                           | Kamisato_Ayaka.png                                 | .png
genshin         | 5        | Kamisato Ayato                           | Kamisato_Ayato.png                                 | .png
genshin         | 5        | Keqing                                   | Keqing.png                                         | .png
genshin         | 5        | Kinich                                   | Kinich.png                                         | .png
genshin         | 5        | Klee                                     | Klee.png                                           | .png
genshin         | 5        | Lauma                                    | Lauma.png                                          | .png
genshin         | 5        | Lyney                                    | Lyney.png                                          | .png
genshin         | 5        | Mavuika                                  | Mavuika.png                                        | .png
genshin         | 5        | Mona                                     | Mona.png                                           | .png
genshin         | 5        | Mualani                                  | Mualani.png                                        | .png
genshin         | 5        | Nahida                                   | Nahida.png                                         | .png
genshin         | 5        | Navia                                    | Navia.png                                          | .png
genshin         | 5        | Neuvillette                              | Neuvillette.png                                    | .png
genshin         | 5        | Nilou                                    | Nilou.png                                          | .png
genshin         | 5        | Qiqi                                     | Qiqi.png                                           | .png
genshin         | 5        | Raiden Shogun                            | Raiden_Shogun.png                                  | .png
genshin         | 5        | Sangonomiya Kokomi                       | Sangonomiya_Kokomi.png                             | .png
genshin         | 5        | Shenhe                                   | Shenhe.png                                         | .png
genshin         | 5        | Sigewinne                                | Sigewinne.png                                      | .png
genshin         | 5        | Skirk                                    | Skirk.png                                          | .png
genshin         | 5        | Tartaglia                                | Tartaglia.png                                      | .png
genshin         | 5        | Tighnari                                 | Tighnari.png                                       | .png
genshin         | 5        | Varka                                    | Varka.png                                          | .png
genshin         | 5        | Venti                                    | Venti.png                                          | .png
genshin         | 5        | Wanderer                                 | Wanderer.png                                       | .png
genshin         | 5        | Wriothesley                              | Wriothesley.png                                    | .png
genshin         | 5        | Xianyun                                  | Xianyun.png                                        | .png
genshin         | 5        | Xiao                                     | Xiao.png                                           | .png
genshin         | 5        | Xilonen                                  | Xilonen.png                                        | .png
genshin         | 5        | Yae Miko                                 | Yae_Miko.png                                       | .png
genshin         | 5        | Yelan                                    | Yelan.png                                          | .png
genshin         | 5        | Yoimiya                                  | Yoimiya.png                                        | .png
genshin         | 5        | Zhongli                                  | Zhongli.png                                        | .png
hsr             | 4        | Arlan                                    | Arlan.png                                          | .png
hsr             | 4        | Asta                                     | Asta.png                                           | .png
hsr             | 4        | Dan Heng                                 | Dan_Heng.png                                       | .png
hsr             | 4        | Gallagher                                | Gallagher.png                                      | .png
hsr             | 4        | Guinaifen                                | Guinaifen.png                                      | .png
hsr             | 4        | Hanya                                    | Hanya.png                                          | .png
hsr             | 4        | Herta                                    | Herta.png                                          | .png
hsr             | 4        | Hook                                     | Hook.png                                           | .png
hsr             | 4        | Luka                                     | Luka.png                                           | .png
hsr             | 4        | Lynx                                     | Lynx.png                                           | .png
hsr             | 4        | March 7th                                | March_7th.png                                      | .png
hsr             | 4        | Misha                                    | Misha.png                                          | .png
hsr             | 4        | Moze                                     | Moze.png                                           | .png
hsr             | 4        | Natasha                                  | Natasha.png                                        | .png
hsr             | 4        | Pela                                     | Pela.png                                           | .png
hsr             | 4        | Qingque                                  | Qingque.png                                        | .png
hsr             | 4        | Sampo                                    | Sampo.png                                          | .png
hsr             | 4        | Serval                                   | Serval.png                                         | .png
hsr             | 4        | Sushang                                  | Sushang.png                                        | .png
hsr             | 4        | Tingyun                                  | Tingyun.png                                        | .png
hsr             | 4        | Xueyi                                    | Xueyi.png                                          | .png
hsr             | 4        | Yukong                                   | Yukong.png                                         | .png
hsr             | 5        | Acheron                                  | Acheron.png                                        | .png
hsr             | 5        | Aglaea                                   | Aglaea.png                                         | .png
hsr             | 5        | Anaxa                                    | Anaxa.png                                          | .png
hsr             | 5        | Archer                                   | Archer.png                                         | .png
hsr             | 5        | Argenti                                  | Argenti.png                                        | .png
hsr             | 5        | Aventurine                               | Aventurine.png                                     | .png
hsr             | 5        | Bailu                                    | Bailu.png                                          | .png
hsr             | 5        | Black Swan                               | Black_Swan.png                                     | .png
